path,score
..\data\train\spoof\spoof_38356.wav,0.0
..\data\train\spoof\spoof_09157.wav,0.0
..\data\train\spoof\spoof_25695.wav,0.0
..\data\train\spoof\spoof_23790.wav,0.0
..\data\train\spoof\spoof_06206.wav,0.0
..\data\train\human\human_06595.wav,1.0
..\data\train\spoof\spoof_26408.wav,0.0
..\data\train\spoof\spoof_14555.wav,0.0
..\data\train\spoof\spoof_25190.wav,0.0
..\data\train\spoof\spoof_38811.wav,0.0
..\data\train\spoof\spoof_09366.wav,0.0
..\data\train\spoof\spoof_02262.wav,0.0
..\data\train\spoof\spoof_02254.wav,0.0
..\data\train\spoof\spoof_20664.wav,0.0
..\data\train\spoof\spoof_10303.wav,0.0
..\data\train\spoof\spoof_10962.wav,0.0
..\data\train\spoof\spoof_22804.wav,0.0
..\data\train\spoof\spoof_10049.wav,0.0
..\data\train\spoof\spoof_31835.wav,0.0
..\data\train\spoof\spoof_33330.wav,0.0
..\data\train\spoof\spoof_04317.wav,0.0
..\data\train\spoof\spoof_02832.wav,0.0
..\data\train\spoof\spoof_04200.wav,0.0
..\data\train\spoof\spoof_32738.wav,0.0
..\data\train\spoof\spoof_26615.wav,0.0
..\data\train\human\human_06439.wav,1.0
..\data\train\spoof\spoof_05386.wav,0.0
..\data\train\spoof\spoof_20062.wav,0.0
..\data\train\human\human_07958.wav,1.0
..\data\train\spoof\spoof_27244.wav,0.0
..\data\train\human\human_00337.wav,1.0
..\data\train\human\human_03095.wav,1.0
..\data\train\spoof\spoof_17498.wav,0.0
..\data\train\human\human_03955.wav,1.0
..\data\train\human\human_07472.wav,1.0
..\data\train\spoof\spoof_21903.wav,0.0
..\data\train\spoof\spoof_01107.wav,0.0
..\data\train\spoof\spoof_02119.wav,0.0
..\data\train\spoof\spoof_22083.wav,0.0
..\data\train\spoof\spoof_19311.wav,0.0
..\data\train\human\human_03547.wav,1.0
..\data\train\spoof\spoof_27078.wav,0.0
..\data\train\spoof\spoof_18345.wav,0.0
..\data\train\human\human_10045.wav,1.0
..\data\train\spoof\spoof_15332.wav,0.0
..\data\train\human\human_05139.wav,1.0
..\data\train\spoof\spoof_26920.wav,0.0
